Criterion,Points,Notes
Typical customer value exceeds £500,12,Average revenue per customer should justify investing in trust and conversions
Depends heavily on enquiries,10,Relies on phone calls, quotes or bookings rather than walk‑ins
Active company with recent reviews,8,Look for reviews within the last 12 months
Founder or decision‑maker identifiable,8,Ability to quickly approve the engagement
Visible telephone or direct email,6,Ensures prospects can be reached
Weak mobile journey,8,Signs of friction on mobile booking or enquiry forms
No clear primary action,8,Homepage lacks an obvious call to action
Missing or weak trust evidence,7,No testimonials, badges, certificates or guarantees visible
Public technical or privacy concerns,7,Broken HTTPS, missing policies or misconfigurations
Stronger local competitors,6,Competitors appear better optimised or trusted
Recent growth, hiring, relocation or launch,5,Indicates openness to new services
Website older or inconsistent,5,Outdated design or conflicting information
Reviews reveal recurring unanswered concerns,4,Customers repeatedly complain about the same issue
Multiple locations or domains,3,More complexity and potential trust gaps
Capacity to pay,3,Evidence of profitable operations (e.g. premium services)
TOTAL,100,Sum of all points
